"system","site"
"Breast","breast"
"Digestive","colon.and.rectum"
"Digestive","anus..anal.canal.and.anorectum"
"Digestive","esophagus"
"Digestive","gallbladder"
"Digestive","liver.and.intrahepatic.bile.duct"
"Digestive","other.biliary"
"Digestive","other.digestive.organs"
"Digestive","pancreas"
"Digestive","peritoneum..omentum.and.mesentery"
"Digestive","retroperitoneum"
"Digestive","small.intestine"
"Digestive","stomach"
"Blood","hodgkin.lymphoma"
"Blood","leukemia"
"Blood","myeloma"
"Blood","non.hodgkin.lymphoma"
"Male Genital","other.male.genital.organs"
"Male Genital","penis"
"Male Genital","prostate"
"Male Genital","testis"
"All Other Sites","bones.and.joints"
"All Other Sites","brain.and.other.nervous.system"
"All Other Sites","eye.and.orbit"
"All Other Sites","kaposi.sarcoma."
"All Other Sites","melanoma.of.the.skin"
"All Other Sites","mesothelioma."
"All Other Sites","miscellaneous"
"All Other Sites","oral.cavity.and.pharynx"
"Endocrine","other.endocrine.including.thymus"
"All Other Sites","other.non.epithelial.skin"
"All Other Sites","soft.tissue.including.heart"
"Endocrine","thyroid"
"Respiratory","larynx"
"Respiratory","lung.and.bronchus"
"Respiratory","nose..nasal.cavity.and.middle.ear"
"Respiratory","pleura"
"Respiratory","trachea..mediastinum.and.other.respiratory.organs"
"Urinary","kidney.and.renal.pelvis"
"Urinary","other.urinary.organs"
"Urinary","ureter"
"Urinary","urinary.bladder"
"Female Genital","cervix.uteri"
"Female Genital","corpus.and.uterus..nos"
"Female Genital","other.female.genital.organs"
"Female Genital","ovary"
"Female Genital","vagina"
"Female Genital","vulva"
